UTTERANCES,actor.gender,gr.amount,movie.country,movie.directed_by,movie.estimated_budget,movie.genre,movie.gross_revenue,movie.initial_release_date,movie.language,movie.locations,movie.music,movie.produced_by,movie.production_companies,movie.rating,movie.starring.actor,movie.starring.character,movie.subjects,none,person.date_of_birth
in what country was the movie mirror produced,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
find movies with tom cruise in them,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
how many films did robert wise direct,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dirty dancing movie short cuts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
please find pg rated movies,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
i am interested in who directed cabin in the woods,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
looking for a musical movie,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
get me spanish movies,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
i am looking for movies directed by tom hanks,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
find italian movies,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
find rated pg movies,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
find movies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
spanish movies,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
what did spielberg direct,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
what company produced sparkle,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
i need information about the cast reviews story etc in detail about the movie house at the end of the street,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
what is the rating for dark knight,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
are there any canadian movies,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
twilight was directed by whom,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
show me the profile of spielberg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
i want to know about clint eastwood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
hitch list producer,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
what movies were filmed in france,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
show me all movies tom cruise has been in,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
what movies do you have that were made in italy,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
movies made in spain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
find for information about the cast of appolo thirteen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
list some funny russian movies,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
find korean movies,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
what was woody allen's last movie,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
list movies about war,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
avatar was directed by whom,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
list will ferrell films,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
please select the option to search for g rated movies,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
get a list of animated films,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
who produced avatar,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
show me all the information about the movie dirty dancing like story reviews cast etc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
find release date for karate kid,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
can you show me a list of scary movies,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
i want to see info on the movie the campaign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
movie made in mandarin,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
find twentieth century fox movies,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
can you give me the revenue of the movie titanic,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
who directed the sandlot,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gilda charles vidor,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i want to see a polish movie,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
i want to look for information about paramount studios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
who is childs vidor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
show me who played what role in go,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
show me information on tom hanks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
i want to look up information about the movie hotel transylvania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
name all of the movies john singleton has directed,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
get me bio info for will ferrell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
show me r rated movies,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
what country produced the movie mirror,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
show me english movies,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
can you show me a list of all the movies directed by james cameron,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
movies about nature,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
revenue for pretty woman,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
listing of g movies,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
movies from france,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
which month was the movie released,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
release twilight,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
which director made a comedy,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
i want to see japanese movies,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
get hungarian films,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
list scifi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
country of weekend,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
show me brad pitt movies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
get me star wars episode four details,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
show me pg rated movies,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
list some movies directed by steven spielberg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
show cast of movie request,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
only mel gibson movies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
who was the main actor in the exorcist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
look at paramount,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
find the director of hum tum,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
please show me movies starring denzel washington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
when will the movie gone with the wind be released,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
what year was the hobbit relased,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
how many movies has steven spielberg directed,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
what year was ed harris in in apollo thirteen,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
what are the films that warner bros. produced,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
films with japaneese,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
when did dredd come out,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
how many movies has woody allen directed,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
movies by alfred hitchcock,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tom hanks movies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
what character did tom hanks play in apollo thirteen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
give me a list of romance movies,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
what was the revenue for toy story 3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
i need to get a list of some romantic indian movies,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
give me some names of japanese movies,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
list movies directed by clint eastwood,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
movies by steven spielberg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
find the name of the director of chips,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i need to know when was the movie avatar released,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
how many films did alfred hitchcock direct,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tell about star wars iv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
i want to watch movies directed by jackie chan,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
look up movies in chinese,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
show me the music composer for the movie,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
when avatar released,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
about finding nemo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
star wars four,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
what movies discuss time travel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
movie made where,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
show me time travel movies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
what is the name of the company that produced the movie ants,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
tell me when compliance came out,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
rating for transylvania,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
movies from spain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
what is the name of the company that produced sparkle,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
can you give me names of some movies having pg thirteen rating,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
movies and who directed them,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titanic release date,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
will ferrell tidbits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
locate romantic movies for me,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
who directed gilda,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
find movies about vietnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
can you please tell me when was karate kid released,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
budget for titanic,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i want to look up the budget of freedom writers,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
what films has robert redford directed,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
show me a list of all the movies produced by william packer,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
movies will smith stars in,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
find ms. congeniality,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
what was the budget for courageous,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
genre for transformers,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
what is the name of the lead actor in the titanic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
what were the names of the ladies in facts of life,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
details about life is beautiful please,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
how many movies has darla anderson produced,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
rocky director's name,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
show me the rating for cabin in the woods,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
show me anne hathaway's latest movie,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
movies from scotland,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
what year did moon over parador come out,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
find out the budget of cujo,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
who was the director of the movie the mechanic,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
show me the director of the film the dark knight,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
can you find more information on albert ruddy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
i want to watch movies with brad pitt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
movies from the uk,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
what are all of the movies made in usa,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
what language did the characters speak in black swan,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
which movies have zombies in them,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
actor from modern family,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
who made steel magnolias,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
what genre is the movie lawless,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
i want to know when 24 will be released,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
star wars,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
show me pixar films,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
search for movies produced by spike lee,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
show me movies with alan rickman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
find movies from india,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
films produced by laurie macdonald,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
can you tell me the language of the movie aankhen,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
star of twilight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
see miramax movies,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
can you tell me which country does thoda pyaar thoda magic belongs to,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
information on finding nemo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
look for information about tom cruise,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
i need a list of tom hanks movies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
can you tell me who produced the movie avatar,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
who directed the movie the thing called love,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pretty girl movie genre,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
list of movies starring angelina jolie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
steven spielberg movies,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
show me the directors of gone with the wind,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
films produced by twentieth century fox,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
how much did it cost to make avatar,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
movie actors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
what movie brad pitt in,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
search for movies produced by albert ruddy,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
who produced casino royale,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
show me a movie that starred patrick swayze,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
find pg thirteen movies,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
show me the bio for the director steven spielberg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
what production company was responsible for the film the devil wears prada,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
show me british films,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i would like to look for the director of freedom writers,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
show me the movies directed by steven spielberg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
what was the last film robert redford produced,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
show me some alfred hitchcock movies,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
want to see charles vidor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
info german movie,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
angelina jolie movies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
martin lawrence directed what movie,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i want an r rated movie,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
i want to see a comedy in spanish,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
roll credits for top gun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
show me tom hanks movies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
how many movies did hitchcock direct,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i would like to watch movies that are spoken in spanish,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
find movies by producer,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
who played esme in twilight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
show me movies produced by stephen spielberg,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
goto will ferrell biography,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
the camp out,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
list cast hitch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
look for movies starring the singer mario,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
search director of the exorcist,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
what were the gross receipts for the avengers,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
show sergio leone's movies,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
movies by george lucas,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
show me short films,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
show me information for the movie dirty dancing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
show films by steven spielberg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
what company produced jurassic park,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
i want chinese language movies,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
taye diggs films,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
look for the producer of heroine,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
show me the rating for the movie romeo must die,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
exhibit details of in july movie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
can you tell me names of some movies by director martin scorsese,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
can i see the credits for dirty dancing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
who is the director of ghost busters,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
please look up r rated movies,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
get me information about the movie star wars four,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
can i see this film rating,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
which director directed a hard day's night,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
show details of the original finding nemo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
director of avatar,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
look up movies with a g rating,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
what movies have come out of turkey,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
show movies with brad pitt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
what is grease rated,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
show german movies,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
revenue for titanic,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
find me nc-17 movies,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
about movie in july,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
films by mel gibson,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
list movies rated pg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
list movies produced by sean penn,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
what country is movie from,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
list movies rated g,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
when was step up released,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
will ferrell films,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
look up movies about god,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
watch tom hanks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
what are some japanese movies,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
show me the movies acted by chiranjeevi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
origin of spanglish,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
show me the budget for the movie,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
can you show me info on the movie life is beautiful please,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
show me horror movie earnings,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
who produced avatar,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
who is will ferrell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
what is the rating of movie,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
i need to know more about the producer ray stark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
display information for the movie in july,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
show steven spielberg movies,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
find me pg-13 movies,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
who was the lead woman in the savages,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
what was the highest making movie,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
only movies rated g,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
i want to find zombie movies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
what country is godzilla,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ondskan's language,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
find films,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
tell me the language of ju on,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
search for movies rated g,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
looking for movies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
what movies has albert ruddy produced,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
director of the movie hum tum,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
look up info about jurassic park's director,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
finding nemo details please,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
what language is passion of the christ in,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
find movies about dogs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
get me the think like a man movie producer,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
search for spanish movies,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
twentieth century fox movies since 1990,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
find all movies produced by clint eastwood,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
i want to see movies from spain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
find any movies about horses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
show movies directed by ron howard,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
who produced cars,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
search for movies about dancing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
find movies of kareena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
i want to see a robert redford produced movie,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
what was the dark night budget,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
show movie ratings,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
what movie has albert brooks done lately,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
i am looking for the actor that played in pretty women,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
find movies with a nc 17 only,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
